frame_id,timestamp,sofa_detected,centroid_x,centroid_y,frame_center_x,frame_center_y,offset_x,offset_y,centrado,depth_value,depth_error
1,1750433727.6305568,0,-1,-1,200,150,-1,-1,0,-1.0,-1.0
2,1750433727.8545415,0,-1,-1,200,150,-1,-1,0,-1.0,-1.0
3,1750433728.1504023,1,197,81,200,150,-3,-69,1,-1.0,-1.0
4,1750433728.8111467,1,196,80,200,150,-4,-1,1,2.081615447998047,0.0
5,1750433730.1206942,1,195,75,200,150,-5,-1,1,2.637836456298828,0.26720643043518066
6,1750433731.09139,1,195,75,200,150,-5,-1,1,2.597233772277832,0.24770104885101318
7,1750433732.087,1,194,75,200,150,-6,-1,1,2.597271680831909,0.24771925806999207
8,1750433732.9687302,1,189,76,200,150,-11,-1,1,2.413344383239746,0.0
9,1750433733.8747814,1,188,76,200,150,-12,-1,1,2.308218240737915,0.0
10,1750433734.8023958,1,189,78,200,150,-11,-1,1,1.6304265260696411,-0.2167494148015976
11,1750433735.4697833,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
12,1750433735.776959,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
13,1750433736.078107,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
14,1750433736.3907783,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
15,1750433736.6950526,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
16,1750433736.9992766,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
17,1750433737.308117,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
18,1750433737.6229756,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
19,1750433737.9331226,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
20,1750433738.2583854,0,-1,-1,200,150,-1,-1,0,1.6304265260696411,-0.2167494148015976
21,1750433738.8012283,1,195,83,200,150,-5,-1,1,1.6545168161392212,-0.20517653226852417
