frame_id,timestamp,sofa_detected,centroid_x,centroid_y,frame_center_x,frame_center_y,offset_x,offset_y,centrado,depth_value,depth_error
1,1748964622.1825943,0,-1,-1,200,150,-1,-1,0,-1.0,-1.0
2,1748964622.324634,1,216,95,200,150,16,-55,1,-1.0,-1.0
3,1748964622.7228863,1,220,94,200,150,20,-1,1,1.75837242603302,0.0
4,1748964623.0996106,1,220,95,200,150,20,-1,1,1.5395305156707764,0.0
5,1748964623.8633456,1,220,97,200,150,20,-1,1,1.8998596668243408,0.0
6,1748964624.3195314,1,227,98,200,150,27,-1,1,2.0459399223327637,0.0
7,1748964624.8260527,1,235,97,200,150,35,-1,1,1.9077640771865845,0.0
8,1748964625.3447342,1,237,93,200,150,37,-1,1,2.2734181880950928,0.29291051626205444
9,1748964625.8331466,1,246,92,200,150,46,-1,1,1.8151215314865112,0.0
10,1748964626.3224442,1,254,92,200,150,54,-1,1,2.171560049057007,0.23498299717903137
11,1748964626.7785172,1,258,92,200,150,58,-1,1,1.6398669481277466,0.0
12,1748964627.2576573,1,262,92,200,150,62,-1,0,1.7176271677017212,0.0
13,1748964627.7262883,1,267,93,200,150,67,-1,0,1.492610216140747,0.0
14,1748964628.2459874,1,247,96,200,150,47,-1,1,1.7703405618667603,0.0
15,1748964628.681653,1,209,97,200,150,9,-1,1,1.9644930362701416,0.0
16,1748964629.1137054,1,206,96,200,150,6,-1,1,2.0047428607940674,0.0
17,1748964629.5066104,1,206,96,200,150,6,-1,1,2.0047428607940674,0.0
18,1748964630.0649111,1,208,97,200,150,8,-1,1,2.0366997718811035,0.0
19,1748964630.5613887,1,219,95,200,150,19,-1,1,1.7480827569961548,0.0
20,1748964631.024669,1,229,95,200,150,29,-1,1,1.9040287733078003,0.0
21,1748964631.5113513,1,240,95,200,150,40,-1,1,1.5298340320587158,0.0
22,1748964631.9712603,1,247,96,200,150,47,-1,1,1.5054208040237427,0.0
23,1748964632.4576318,1,254,97,200,150,54,-1,1,1.769408941268921,0.0
24,1748964632.896459,1,260,98,200,150,60,-1,0,1.7183303833007812,0.0
25,1748964633.3261614,1,267,98,200,150,67,-1,0,1.638375163078308,0.0
26,1748964633.751652,1,271,98,200,150,71,-1,0,1.3552916049957275,-0.2292351871728897
27,1748964634.139305,1,279,98,200,150,79,-1,0,1.2137962579727173,-0.3097046911716461
28,1748964634.5375056,1,268,99,200,150,68,-1,0,1.317236304283142,-0.2508775293827057
29,1748964634.8018067,0,-1,-1,200,150,-1,-1,0,1.317236304283142,-0.2508775293827057
30,1748964635.2141054,1,240,99,200,150,40,-1,1,1.4700658321380615,0.0
31,1748964635.6266232,1,197,98,200,150,-3,-1,1,1.5434730052947998,0.0
32,1748964636.0584042,1,172,98,200,150,-28,-1,1,1.5400630235671997,0.0
33,1748964636.4658506,1,173,98,200,150,-27,-1,1,1.4554744958877563,0.0
34,1748964636.7218308,0,-1,-1,200,150,-1,-1,0,1.4554744958877563,0.0
35,1748964637.121943,1,174,97,200,150,-26,-1,1,1.6663931608200073,0.0
36,1748964637.5269105,1,176,95,200,150,-24,-1,1,1.670027256011963,0.0
37,1748964637.9879708,1,183,96,200,150,-17,-1,1,1.516094446182251,0.0
38,1748964638.4049256,1,192,96,200,150,-8,-1,1,1.594770073890686,0.0
39,1748964638.8479366,1,200,97,200,150,0,-1,1,1.628555178642273,0.0
40,1748964639.263434,1,211,99,200,150,11,-1,1,1.59524667263031,0.0
41,1748964639.6820042,1,214,99,200,150,14,-1,1,1.8190345764160156,0.0
42,1748964640.0854068,1,219,100,200,150,19,-1,1,1.6774632930755615,0.0
43,1748964640.4712296,1,223,100,200,150,23,-1,1,1.9761979579925537,0.0
44,1748964640.9405696,1,223,100,200,150,23,-1,1,1.9761979579925537,0.0
45,1748964641.406962,1,231,100,200,150,31,-1,1,1.813449501991272,0.0
46,1748964641.798437,1,242,100,200,150,42,-1,1,1.863237977027893,0.0
47,1748964642.1766787,1,243,99,200,150,43,-1,1,1.8124829530715942,0.0
48,1748964642.4585428,0,-1,-1,200,150,-1,-1,0,1.8124829530715942,0.0
49,1748964642.6962483,0,-1,-1,200,150,-1,-1,0,1.8124829530715942,0.0
50,1748964642.9253645,0,-1,-1,200,150,-1,-1,0,1.8124829530715942,0.0
51,1748964643.1857572,0,-1,-1,200,150,-1,-1,0,1.8124829530715942,0.0
52,1748964643.583803,1,276,97,200,150,76,-1,0,2.113452196121216,0.20193661749362946
53,1748964644.0032582,1,282,98,200,150,82,-1,0,1.869052767753601,0.0
54,1748964644.3073902,0,-1,-1,200,150,-1,-1,0,1.869052767753601,0.0
55,1748964644.717055,1,289,99,200,150,89,-1,0,1.933937430381775,0.0
56,1748964645.1813731,1,277,100,200,150,77,-1,0,1.8239859342575073,0.0
57,1748964645.6148713,1,244,100,200,150,44,-1,1,1.7740817070007324,0.0
58,1748964646.042848,1,224,99,200,150,24,-1,1,1.7164589166641235,0.0
59,1748964646.4699583,1,170,98,200,150,-30,-1,1,1.9872376918792725,0.0
60,1748964646.9097297,1,163,99,200,150,-37,-1,1,1.7080624103546143,0.0
61,1748964647.3516822,1,175,97,200,150,-25,-1,1,1.8470442295074463,0.0
62,1748964647.8404355,1,184,94,200,150,-16,-1,1,1.8751224279403687,0.0
63,1748964648.3224263,1,197,95,200,150,-3,-1,1,1.7368932962417603,0.0
64,1748964648.7856784,1,206,95,200,150,6,-1,1,2.0157127380371094,0.0
65,1748964649.2298818,1,211,95,200,150,11,-1,1,1.9322997331619263,0.0
66,1748964649.6901171,1,214,94,200,150,14,-1,1,1.8450788259506226,0.0
67,1748964650.2187867,1,220,94,200,150,20,-1,1,1.8098108768463135,0.0
68,1748964650.6895156,1,229,95,200,150,29,-1,1,1.6603704690933228,0.0
69,1748964651.1228855,1,234,95,200,150,34,-1,1,2.1322734355926514,0.21264038980007172
70,1748964651.5438726,1,236,95,200,150,36,-1,1,2.124222755432129,0.20806191861629486
71,1748964652.0660038,1,236,95,200,150,36,-1,1,2.124222755432129,0.20806191861629486
72,1748964652.5393484,1,243,97,200,150,43,-1,1,2.120669364929199,0.20604106783866882
73,1748964652.9806604,1,246,96,200,150,46,-1,1,2.1974520683288574,0.24970798194408417
